,title,subtitle,location_x,currency,price,description,other_details,bed,bath,toilet,area,prop_type,location_y,match,pricerange
19,3 BEDROOM FLAT / APARTMENT FOR RENT,"FRESH 3 BEDROOM APARTMENT + BQ + POOL + SECURITY ETC IN BANANA ISLAND ESTATE @N10M RENT, S.C N3M",BANANA ISLAND ESTATEBanana Island Ikoyi Lagos,naira,10000000,"FRESH 3 BEDROOM APARTMENT + BQ + POOL + SECURITY ETC IN BANANA ISLAND ESTATE @N10M RENT, S.C N3M", FOR RENT: ************STRICTLY FOR DIRECT & CASH READY CLIENTS ONLY. PRINCE ADEMOLA OSI.. Read more ,3,3,4,Ikoyi,Flat,BANANA ISLAND ESTATEBanana Island Ikoyi Lagos,Banana Island Ikoyi,Above 5M
20,3 BEDROOM FLAT / APARTMENT FOR RENT,Three Bedroom Flat ,Osborne Foreshore Estate Ikoyi Lagos,naira,10000000,Three Bedroom Flat , FOR RENT: 3 bedroom Flat / Apartment for rent Osborne Foreshore Estate Ikoyi Lagos.. Read more ,3,3,3,Ikoyi,Flat,Osborne Foreshore Estate Ikoyi Lagos,Osbourne Ikoyi,Above 5M
21,3 BEDROOM FLAT / APARTMENT FOR RENT,Four Bedroom Maisonette,Old Ikoyi Ikoyi Lagos,naira,16000000,Four Bedroom Maisonette, FOR RENT: 3 bedroom Flat / Apartment for rent Old Ikoyi Ikoyi Lagos.. Read more ,3,3,4,Ikoyi,Flat,Old Ikoyi Ikoyi Lagos,Old Ikoyi,Above 5M
22,3 BEDROOM FLAT / APARTMENT FOR RENT,PRINCE ADEMOLA OSINUGA EXECUTIVE 3 BEDROOM APARTMENT BQ POOL GYM IN BANANA ISLAND ESTATE @N14M!!! ,BANANA ISLAND ESTATEBanana Island Ikoyi Lagos,naira,14000000,PRINCE ADEMOLA OSINUGA EXECUTIVE 3 BEDROOM APARTMENT BQ POOL GYM IN BANANA ISLAND ESTATE @N14M!!! , FOR RENT: STRICTLY FOR DIRECT & CASH READY CLIENTS ONLY PRINCE ADEMOLA OSINUGA EXECUTIV.. Read more ,3,3,4,Ikoyi,Flat,BANANA ISLAND ESTATEBanana Island Ikoyi Lagos,Banana Island Ikoyi,Above 5M
23,3 BEDROOM FLAT / APARTMENT FOR RENT, PRINCE ADEMOLA OSINUGA CENTRAL LOCATION PREMIUM 3 BEDROOM APARTMENT + BQ+GYM @N11.5M!!!,...Old Ikoyi Ikoyi Lagos,naira,11500000, PRINCE ADEMOLA OSINUGA CENTRAL LOCATION PREMIUM 3 BEDROOM APARTMENT + BQ+GYM @N11.5M!!!," FOR RENT: DIRECT & CASH READY CLIENTS ONLY PLEASE IF YOU ARE NOT THE PAYING CLIENT, DON.. Read more ",3,3,4,Ikoyi,Flat,...Old Ikoyi Ikoyi Lagos,Old Ikoyi,Above 5M
26,3 BEDROOM FLAT / APARTMENT FOR RENT, PRINCE ADEMOLA OSINUGA HIGH END LUXURY EXPATRIATE STANDARD 3 BEDROOM APARTMENT @N12.5M ,-Old Ikoyi Ikoyi Lagos,naira,12500000, PRINCE ADEMOLA OSINUGA HIGH END LUXURY EXPATRIATE STANDARD 3 BEDROOM APARTMENT @N12.5M ," FOR RENT: DIRECT & CASH READY CLIENTS ONLY! PLEASE IF YOU ARE NOT THE PAYING CLIENT, DO.. Read more ",3,3,4,Ikoyi,Flat,#NAME?,Ikoyi,Above 5M
27,3 BEDROOM FLAT / APARTMENT FOR RENT,Newly built and tastefully finished 6 (Nos) 3-bedroom serviced flat ,Ayodele Oguniyi Street.Anthony Village Maryland Lagos,naira,2500000,Newly built and tastefully finished 6 (Nos) 3-bedroom serviced flat , FOR RENT: Newly built and tastefully finished 6(No) 3bedroom serviced flat on Ayodele Ogun.. Read more ,3,3,4,Maryland,Flat,Ayodele Oguniyi Street.Anthony Village Maryland Lagos,Maryland,2.1M-5M
30,3 BEDROOM FLAT / APARTMENT FOR RENT,CORPORATE LEASE OF 12 NOS 3 BEDROOM APARTMENT + 1 NOS 2 BEDROOM PENTHOUSE,.Victoria Island Extension Victoria Island Lagos,naira,64500000,CORPORATE LEASE OF 12 NOS 3 BEDROOM APARTMENT + 1 NOS 2 BEDROOM PENTHOUSE, FOR RENT: ***************STRICTLY FOR DIRECT & SERIOUS CASH READY CLIENTS ONLY PLEASE. .. Read more ,3,3,4,Island,Flat,.Victoria Island Extension Victoria Island Lagos,Victoria Island,Above 5M
33,3 BEDROOM FLAT / APARTMENT FOR RENT,"Newly built block of mini flat, 2 and 3 bedroom maisonettes for corporate tenant only ",-Osborne Foreshore Estate Ikoyi Lagos,naira,4500000,"Newly built block of mini flat, 2 and 3 bedroom maisonettes for corporate tenant only "," FOR RENT: Block of flat consisting of mini flat, 2 and 3 bedroom maisonettes for rent for .. Read more ",3,3,4,Ikoyi,Flat,#NAME?,Ikoyi,2.1M-5M
47,3 BEDROOM FLAT / APARTMENT FOR RENT,PRINCE ADEMOLA OSINUGA WATERFRONT 3 BEDROOM APARTMENT + BQ+ GYM+ POOL ,BANANA ISLAND ESTATEBanana Island Ikoyi Lagos,naira,14999999,PRINCE ADEMOLA OSINUGA WATERFRONT 3 BEDROOM APARTMENT + BQ+ GYM+ POOL , FOR RENT: STRICTLY FOR DIRECT & CASH READY CLIENTS ONLY! EXCLUSIVE WATERFRONT 3 BEDROOM.. Read more ,3,3,4,Ikoyi,Flat,BANANA ISLAND ESTATEBanana Island Ikoyi Lagos,Banana Island Ikoyi,Above 5M
49,3 BEDROOM FLAT / APARTMENT FOR RENT,Upscale 3 Bedroom Apartment,Banana Island Ikoyi Lagos,naira,15000000,Upscale 3 Bedroom Apartment, FOR RENT: CW0867.. Read more ,3,3,4,Ikoyi,Flat,Banana Island Ikoyi Lagos,Banana Island Ikoyi,Above 5M
53,3 BEDROOM FLAT / APARTMENT FOR RENT,PRINCE ADEMOLA OSINUGA FRESH 3 BEDROOM APARTMENT+BQ +SWIMMING POOL + GYM @N14M!!,BANANA ISLAND ESTATEBanana Island Ikoyi Lagos,naira,14000000,PRINCE ADEMOLA OSINUGA FRESH 3 BEDROOM APARTMENT+BQ +SWIMMING POOL + GYM @N14M!!," FOR RENT: ****STRICTLY FOR SERIOUS, DIRECT & CASH READY CLIENTS ONLY PRINCE ADEMOLA OSI.. Read more ",3,3,4,Ikoyi,Flat,BANANA ISLAND ESTATEBanana Island Ikoyi Lagos,Banana Island Ikoyi,Above 5M
54,3 BEDROOM FLAT / APARTMENT FOR RENT,Newly Built 3 Bedroom Apartment with a B/Q,Along Banana islandBourdillon Ikoyi Lagos,naira,12000000,Newly Built 3 Bedroom Apartment with a B/Q, FOR RENT: Newly Built and Luxurious Beautifully & Serviced 3 Bedroom Flat Apartment For R.. Read more ,3,3,4,Ikoyi,Flat,Along Banana islandBourdillon Ikoyi Lagos,Banana Island Ikoyi,Above 5M
57,3 BEDROOM FLAT / APARTMENT FOR RENT,Executive 3 Bedroom Residential Apartment with B/Q,Off Ligali AyorindeLigali Ayorinde Victoria Island Lagos,naira,8000000,Executive 3 Bedroom Residential Apartment with B/Q, FOR RENT: We introduce our new development to you.3 bedroom flats with b/q currently avail.. Read more ,3,3,4,Island,Flat,Off Ligali AyorindeLigali Ayorinde Victoria Island Lagos,Victoria Island,Above 5M
59,3 BEDROOM FLAT / APARTMENT FOR RENT,8 units of 3 bedroom flat for a Corporate Tenant,Osborne Foreshore Estate Ikoyi Lagos,naira,6000000,8 units of 3 bedroom flat for a Corporate Tenant, FOR RENT: 8 units of 3 bedroom flats for corporate tenants only located at Osborne Phase 1.. Read more ,3,3,4,Ikoyi,Flat,Osborne Foreshore Estate Ikoyi Lagos,Osbourne Ikoyi,Above 5M
60,3 BEDROOM FLAT / APARTMENT FOR RENT,3 BEDROOM SERVICED FLAT FOR RENT IN VICTORIA ISLAND ,Victoria Island Lagos,naira,5500000,3 BEDROOM SERVICED FLAT FOR RENT IN VICTORIA ISLAND , FOR RENT: Service charge- N2.5m - Features- • Rooftop Swimming pool • Gymnasium • Wel.. Read more ,3,4,5,Island,Flat,Victoria Island Lagos,Victoria Island,Above 5M
61,3 BEDROOM FLAT / APARTMENT FOR RENT,PRACTICAL AND PREMIUM 3 BEDROOM APARTMENT + BQ+POOL+GYM+ELEVATORS+ETC IN VICTORIA ISLAND @N10M/ S.C N3.5M,Adeola Hopewell Victoria Island Lagos,naira,10000000,PRACTICAL AND PREMIUM 3 BEDROOM APARTMENT + BQ+POOL+GYM+ELEVATORS+ETC IN VICTORIA ISLAND @N10M/ S.C N3.5M, FOR RENT: ***************STRICTLY FOR DIRECT & CASH READY CLIENTS ONLY! PLEASE CALL IF .. Read more ,3,3,4,Island,Flat,Adeola Hopewell Victoria Island Lagos,Victoria Island,Above 5M
62,3 BEDROOM FLAT / APARTMENT FOR RENT,Luxury 3 Bedroom Flat Service Apartment,Lekki Phase 1 Lekki Lagos,naira,3500000,Luxury 3 Bedroom Flat Service Apartment, FOR RENT: Nicely Built 3 Bedroom Flat Service Apartment for Rent This property is Situat.. Read more ,3,3,4,Lekki,Flat,Lekki Phase 1 Lekki Lagos,Phase 1 Lekki,2.1M-5M
69,3 BEDROOM FLAT / APARTMENT FOR RENT,Spacious 3 Bedroom Apartment ,Banana Island Ikoyi Lagos,naira,25000000,Spacious 3 Bedroom Apartment , FOR RENT: 3 bedroom Flat / Apartment for rent Banana Island Ikoyi Lagos.. Read more ,3,3,4,Ikoyi,Flat,Banana Island Ikoyi Lagos,Banana Island Ikoyi,Above 5M
71,3 BEDROOM FLAT / APARTMENT FOR RENT,Premium 3 Bedroom Apartment,Parkview Estate Ikoyi Lagos,naira,5000000,Premium 3 Bedroom Apartment," FOR RENT: Facilities include gym, swimming pool, 24 hour security, back up inverter, c.. Read more ",3,3,4,Ikoyi,Flat,Parkview Estate Ikoyi Lagos,Parkview Ikoyi,2.1M-5M
78,3 BEDROOM FLAT / APARTMENT FOR RENT,Newly Built 4 units of 3 bedroom flats with self contain bq,Abijo GRAIbeju Lekki Lagos,naira,1300000,Newly Built 4 units of 3 bedroom flats with self contain bq, FOR RENT: Newly built 4 units of 3 bedroom flats with self contain bq.. Read more ,3,3,4,Lekki,Flat,Abijo GRAIbeju Lekki Lagos,Abijo Ajah,1.1M-2M
82,3 BEDROOM FLAT / APARTMENT FOR RENT,TASTEFULLY FINISHED 3 BEDROOM MAISONETTE WITH A ROOM BQ,Off Fourth AvenueBanana Island Ikoyi Lagos,naira,15000000,TASTEFULLY FINISHED 3 BEDROOM MAISONETTE WITH A ROOM BQ, FOR RENT: Tastefully Finished 3 Bedroom Terrace with a room Servant Quarter Features Incl.. Read more ,3,3,4,Ikoyi,Flat,Off Fourth AvenueBanana Island Ikoyi Lagos,Abijo Ajah,Above 5M
87,3 BEDROOM FLAT / APARTMENT FOR RENT,TASTEFULLY FINISHED 3 BEDROOM FLAT WITH A ROOM BQ,OFF ABIA STREETBanana Island Ikoyi Lagos,naira,14000000,TASTEFULLY FINISHED 3 BEDROOM FLAT WITH A ROOM BQ, FOR RENT: FEATURES INCLUDE; SWIMMING POOL GYM AMPLE PARKING SPACE GREEN AREA CCTV CAM.. Read more ,3,3,4,Ikoyi,Flat,OFF ABIA STREETBanana Island Ikoyi Lagos,Abijo Ajah,Above 5M
89,3 BEDROOM FLAT / APARTMENT FOR RENT,Spacious and luxurious 3 bedroom flat with BQ,Banana Island Ikoyi Lagos,naira,13000000,Spacious and luxurious 3 bedroom flat with BQ," FOR RENT: Spacious and luxurious 3 bedroom flat with one room BQ at Bellavista apartment, .. Read more ",3,,,Ikoyi,Flat,Banana Island Ikoyi Lagos,Abijo Ajah,Above 5M
109,3 BEDROOM FLAT / APARTMENT FOR RENT,Decent 3bedroom up flat available at Medina estate gbagada,Medina estate gbagadaAtunrase Medina Gbagada Lagos,naira,1600000,Decent 3bedroom up flat available at Medina estate gbagada, FOR RENT: Decent 3bedroom up and down flat at Medina estate gbagada.property is located in.. Read more ,3,2,3,Gbagada,Flat,Medina estate gbagadaAtunrase Medina Gbagada Lagos,Gbagada,1.1M-2M
111,3 BEDROOM FLAT / APARTMENT FOR RENT,Relatively new 3 bed room flat up flat in millenuim estate gbagada 1.7m,Millenuim Ups Gbagada Lagos,naira,1700000,Relatively new 3 bed room flat up flat in millenuim estate gbagada 1.7m, FOR RENT: Relatively new 3 bed room flat up flat in millenuim estate gbagada 1.7m.. Read more ,3,3,3,Gbagada,Flat,Millenuim Ups Gbagada Lagos,Ikota Lekki,1.1M-2M
117,3 BEDROOM FLAT / APARTMENT FOR RENT,Lovely 3 Bedroom flat;,Oniru Victoria Island Lagos,naira,3500000,Lovely 3 Bedroom flat;, FOR RENT: Lovely 3 Bedroom flat; Location: Oniru. Price: 3.5 million Service charge.. Read more ,3,3,4,Island,Flat,Oniru Victoria Island Lagos,Victoria Island,2.1M-5M
119,3 BEDROOM FLAT / APARTMENT FOR RENT,Lovely 3 Bedroom Flat with 2 rooms Bq;,Old Ikoyi Ikoyi Lagos,naira,12500000,Lovely 3 Bedroom Flat with 2 rooms Bq;, FOR RENT: Lovely 3 Bedroom Flat with 2 rooms Bq; Location: Old Ikoyi. Rent: 12.5 mil.. Read more ,3,3,4,Ikoyi,Flat,Old Ikoyi Ikoyi Lagos,Old Ikoyi,Above 5M
122,3 BEDROOM FLAT / APARTMENT FOR RENT,3 BEDROOM APARTMENT ,-Old Ikoyi Ikoyi Lagos,naira,6000000,3 BEDROOM APARTMENT , FOR RENT: DIRECT & SERIOUS CLIENTS ONLY SEAMLESS TRANSACTIONS! PRINCE ADEMOLA OSINUG.. Read more ,3,3,4,Ikoyi,Flat,#NAME?,Ikoyi,Above 5M
123,3 BEDROOM FLAT / APARTMENT FOR RENT,Premium 3 Bedroom Apartment,Old Ikoyi Ikoyi Lagos,naira,9000000,Premium 3 Bedroom Apartment," FOR RENT: Newly Built Premium 3 Bedroom Apartment, Superbly finished, nicely tiled floor Q.. Read more ",3,3,4,Ikoyi,Flat,Old Ikoyi Ikoyi Lagos,Old Ikoyi,Above 5M
124,3 BEDROOM FLAT / APARTMENT FOR RENT,Spacious 3 bedroom Apartment,Victoria Island Lagos,naira,8000000,Spacious 3 bedroom Apartment," FOR RENT: Very Spacious Apartment with a Superb finishing, nicely tiled floor Quality Inte.. Read more ",3,3,4,Island,Flat,Victoria Island Lagos,Victoria Island,Above 5M
131,3 BEDROOM FLAT / APARTMENT FOR RENT,"FRESH DEAL! REDUCED RENT FOR WELL SERVICED LUXURY 3 ALL ENSUITE BEDROOMS PLUS 2 STAFF ROOMS, ELEVATORS, SWIMMING POOL, GYM, ETC IN OLD IKOYI @N13M! CALL PRINCE ADEMOLA OSINUGA LUXURYBARGAINSMARKET NOW TO CLOSE IMMEDIATELY!",Old Ikoyi Ikoyi Lagos,naira,13000000,"FRESH DEAL! REDUCED RENT FOR WELL SERVICED LUXURY 3 ALL ENSUITE BEDROOMS PLUS 2 STAFF ROOMS, ELEVATORS, SWIMMING POOL, GYM, ETC IN OLD IKOYI @N13M! CALL PRINCE ADEMOLA OSINUGA LUXURYBARGAINSMARKET NOW TO CLOSE IMMEDIATELY!", FOR RENT: FRESH DEAL! REDUCED RENT FOR WELL SERVICED LUXURY 3 ALL ENSUITE BEDROOMS PLUS 2 .. Read more ,3,3,4,Ikoyi,Flat,Old Ikoyi Ikoyi Lagos,Old Ikoyi,Above 5M
132,3 BEDROOM FLAT / APARTMENT FOR RENT,FRESH DEAL! WELL SERVICED 3 BEDROOMS APARTMENT PLUS STAFF ROOM ELEVATOR SWIMMING POOL GYM ETC IN PARKVIEW @N6.5M! CALL PRINCE ADEMOLA OSINUGA LUXURYBARGAINSMARKET NOW TO CLOSE IMMEDIATELY! ,Parkview Estate Ikoyi Lagos,naira,6500000,FRESH DEAL! WELL SERVICED 3 BEDROOMS APARTMENT PLUS STAFF ROOM ELEVATOR SWIMMING POOL GYM ETC IN PARKVIEW @N6.5M! CALL PRINCE ADEMOLA OSINUGA LUXURYBARGAINSMARKET NOW TO CLOSE IMMEDIATELY! , FOR RENT: FRESH DEAL! WELL SERVICED 3 BEDROOMS APARTMENT PLUS STAFF ROOM ELEVATOR SWIMMING.. Read more ,3,3,4,Ikoyi,Flat,Parkview Estate Ikoyi Lagos,Parkview Ikoyi,Above 5M
133,3 BEDROOM FLAT / APARTMENT FOR RENT,Spacious 3 Bedroom Apartment,Old Ikoyi Ikoyi Lagos,naira,10000000,Spacious 3 Bedroom Apartment, FOR RENT: CW01268 3 bedroom Flat / Apartment for rent Old Ikoyi Ikoyi Lagos.. Read more ,3,3,3,Ikoyi,Flat,Old Ikoyi Ikoyi Lagos,Old Ikoyi,Above 5M
135,3 BEDROOM FLAT / APARTMENT FOR RENT,PRINCE ADEMOLA OSINUGA OFFERS! 48HRS DEAL! LUXURY 3 BEDROOM APARTMENT +BQ +GYM+POOL,-Bourdillon Ikoyi Lagos,naira,11000000,PRINCE ADEMOLA OSINUGA OFFERS! 48HRS DEAL! LUXURY 3 BEDROOM APARTMENT +BQ +GYM+POOL, FOR RENT: DIRECT & CASH READY CLIENTS ONLY! PRINCE ADEMOLA OSINUGA 48HRS DEAL! 3 BEDROO.. Read more ,3,3,4,Ikoyi,Flat,#NAME?,Ikoyi,Above 5M
139,3 BEDROOM FLAT / APARTMENT FOR RENT,Luxury 3 Bedroom flat;,Oniru Victoria Island Lagos,naira,6500000,Luxury 3 Bedroom flat;, FOR RENT: Luxury 3 Bedroom flat; Location: Oniru Price: 6.5million Service charge .. Read more ,3,3,4,Island,Flat,Oniru Victoria Island Lagos,Victoria Island,Above 5M
140,3 BEDROOM FLAT / APARTMENT FOR RENT,Luxury 3 Bedroom Flat,Oniru Victoria Island Lagos,naira,5000000,Luxury 3 Bedroom Flat," FOR RENT: PID: CW01349 Service Charge: 1.5M; Comes with swimming pool, gym, mini basketba.. Read more ",3,4,4,Island,Flat,Oniru Victoria Island Lagos,Victoria Island,2.1M-5M
143,3 BEDROOM FLAT / APARTMENT FOR RENT,PRINCE ADEMOLA OSINUGA FAMILY FRIENDLY 3 BEDROOM APARTMENT +TENNIS +SQUASH+GYM+LOUNGE +ADULT/KIDS POOL ETC ,CENTRAL IKOYIOld Ikoyi Ikoyi Lagos,naira,8500000,PRINCE ADEMOLA OSINUGA FAMILY FRIENDLY 3 BEDROOM APARTMENT +TENNIS +SQUASH+GYM+LOUNGE +ADULT/KIDS POOL ETC ," FOR RENT: *STRICTLY FOR SERIOUS, DIRECT & CASH READY CLIENTS ONLY PRINCE ADEMOLA OSINUG.. Read more ",3,3,4,Ikoyi,Flat,CENTRAL IKOYIOld Ikoyi Ikoyi Lagos,Old Ikoyi,Above 5M
148,3 BEDROOM FLAT / APARTMENT FOR RENT,Nicely Built 3 Bedroom flat;,Oniru Victoria Island Lagos,naira,4000000,Nicely Built 3 Bedroom flat;, FOR RENT: Nicely Built 3 Bedroom flat; Location: Oniru. Rent: N4million Service cha.. Read more ,3,3,4,Island,Flat,Oniru Victoria Island Lagos,Victoria Island,2.1M-5M
150,3 BEDROOM FLAT / APARTMENT FOR RENT,Beautifully Built 3 Bedroom Flat with a BQ ,Banana Island Ikoyi Lagos,naira,15000000,Beautifully Built 3 Bedroom Flat with a BQ ," FOR RENT: Beautifully Built 3 Bedroom Flat with a BQ Location: Banana Island, Ikoyi. .. Read more ",3,3,4,Ikoyi,Flat,Banana Island Ikoyi Lagos,Banana Island Ikoyi,Above 5M
153,3 BEDROOM FLAT / APARTMENT FOR RENT,Nicely Built 3 Bedroom flat with a bq;,Ikoyi Lagos,naira,12000000,Nicely Built 3 Bedroom flat with a bq;, FOR RENT: Nicely Built 3 Bedroom flat with a bq; Location: Ikoyi Price: N12 million.. Read more ,3,3,4,Ikoyi,Flat,Ikoyi Lagos,Ikoyi,Above 5M
157,3 BEDROOM FLAT / APARTMENT FOR RENT,Luxury 3 Bedroom Flat,Oniru Victoria Island Lagos,naira,5500000,Luxury 3 Bedroom Flat, FOR RENT: Luxury 3 Bedroom Flat Location: oniru Price: 5.5million Service charge .. Read more ,3,3,4,Island,Flat,Oniru Victoria Island Lagos,Victoria Island,Above 5M
160,3 BEDROOM FLAT / APARTMENT FOR RENT, NEWLY BUILT WATERFRONT 3 BEDROOM APARTMENT + POOL+ GARDEN IN PARKVIEW @N7.5M!! ,...Parkview Estate Ikoyi Lagos,naira,7500000, NEWLY BUILT WATERFRONT 3 BEDROOM APARTMENT + POOL+ GARDEN IN PARKVIEW @N7.5M!! , FOR RENT: DIRECT AND SERIOUS CLIENTS ONLY! SEAMLESS TRANSACTIONS! PRINCE ADEMOLA OSI.. Read more ,3,3,4,Ikoyi,Flat,...Parkview Estate Ikoyi Lagos,Parkview Ikoyi,Above 5M
161,3 BEDROOM FLAT / APARTMENT FOR RENT,Premium 3 Bedroom Apartment,Victoria Island Lagos,naira,13500000,Premium 3 Bedroom Apartment, FOR RENT: CW01261.. Read more ,3,3,4,Island,Flat,Victoria Island Lagos,Victoria Island,Above 5M
166,3 BEDROOM FLAT / APARTMENT FOR RENT,Luxury 3 Bedroom Apartment with b/q,Oniru Estate Victoria Island Extension Victoria Island Lagos,naira,3500000,Luxury 3 Bedroom Apartment with b/q, FOR RENT: Luxury 3 Bedroom Apartment with B/q for Rent This complex exudes luxury at its .. Read more ,3,3,4,Island,Flat,Oniru Estate Victoria Island Extension Victoria Island Lagos,Victoria Island,2.1M-5M
168,3 BEDROOM FLAT / APARTMENT FOR RENT,Modern 3 Bedroom Apartment ,Ikoyi Lagos,naira,23000000,Modern 3 Bedroom Apartment , FOR RENT: Modern and Beautiful 3 Bedroom Apartment in Ikoyi for Rent. It comes fully servi.. Read more ,3,3,3,Ikoyi,Flat,Ikoyi Lagos,Ikoyi,Above 5M
171,3 BEDROOM FLAT / APARTMENT FOR RENT,EXECUTUVE & HIGH CEILING 3 BEDROOM APARTMENT +BQ IN PARKVIEW,PARKVIEW ESTATEParkview Estate Ikoyi Lagos,naira,5500000,EXECUTUVE & HIGH CEILING 3 BEDROOM APARTMENT +BQ IN PARKVIEW, FOR RENT: STRICTLY FOR DIRECT & INSTANT CASH READY CLIENTS ONLY. PRINCE ADEMOLA OSINUG.. Read more ,3,3,4,Ikoyi,Flat,PARKVIEW ESTATEParkview Estate Ikoyi Lagos,Parkview Ikoyi,Above 5M
